[11-Sep-2023 08:56:42 UTC] PHP Warning:  filemtime(): stat failed for C:\Users\audev\Local Sites\koukakie\app\public/wp-content/themes/foce-child/sass-vs/css/style.css in C:\Users\audev\Local Sites\koukakie\app\public\wp-content\themes\foce-child\functions.php on line 5
[11-Sep-2023 08:56:42 UTC] PHP Warning:  filemtime(): stat failed for C:\Users\audev\Local Sites\koukakie\app\public/wp-content/themes/foce-child/sass-vs/css/style.css in C:\Users\audev\Local Sites\koukakie\app\public\wp-content\themes\foce-child\functions.php on line 5
[25-Sep-2023 07:26:07 UTC] PHP Warning:  Failed loading Zend extension 'php_opcache.dll' (tried: C:/Users/audev/AppData/Local/Programs/Local/resources/extraResources/lightning-services/php-8.1.9+8/bin/win64/ext\php_opcache.dll (Le module spécifié est introuvable), C:/Users/audev/AppData/Local/Programs/Local/resources/extraResources/lightning-services/php-8.1.9+8/bin/win64/ext\php_php_opcache.dll.dll (Le module spécifié est introuvable)) in Unknown on line 0
[25-Sep-2023 07:26:07 UTC] PHP Warning:  Failed loading Zend extension 'php_xdebug.dll' (tried: C:/Users/audev/AppData/Local/Programs/Local/resources/extraResources/lightning-services/php-8.1.9+8/bin/win64/ext\php_xdebug.dll (Le module spécifié est introuvable), C:/Users/audev/AppData/Local/Programs/Local/resources/extraResources/lightning-services/php-8.1.9+8/bin/win64/ext\php_php_xdebug.dll.dll (Le module spécifié est introuvable)) in Unknown on line 0
[25-Sep-2023 07:26:07 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_curl.dll' (tried: C:/Users/audev/AppData/Local/Programs/Local/resources/extraResources/lightning-services/php-8.1.9+8/bin/win64/ext\php_curl.dll (Le module spécifié est introuvable), C:/Users/audev/AppData/Local/Programs/Local/resources/extraResources/lightning-services/php-8.1.9+8/bin/win64/ext\php_php_curl.dll.dll (Le module spécifié est introuvable)) in Unknown on line 0
[25-Sep-2023 07:26:07 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_gettext.dll' (tried: C:/Users/audev/AppData/Local/Programs/Local/resources/extraResources/lightning-services/php-8.1.9+8/bin/win64/ext\php_gettext.dll (Le module spécifié est introuvable), C:/Users/audev/AppData/Local/Programs/Local/resources/extraResources/lightning-services/php-8.1.9+8/bin/win64/ext\php_php_gettext.dll.dll (Le module spécifié est introuvable)) in Unknown on line 0
[25-Sep-2023 07:26:07 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_openssl.dll' (tried: C:/Users/audev/AppData/Local/Programs/Local/resources/extraResources/lightning-services/php-8.1.9+8/bin/win64/ext\php_openssl.dll (Le module spécifié est introuvable), C:/Users/audev/AppData/Local/Programs/Local/resources/extraResources/lightning-services/php-8.1.9+8/bin/win64/ext\php_php_openssl.dll.dll (Le module spécifié est introuvable)) in Unknown on line 0
[25-Sep-2023 07:26:07 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_exif.dll' (tried: C:/Users/audev/AppData/Local/Programs/Local/resources/extraResources/lightning-services/php-8.1.9+8/bin/win64/ext\php_exif.dll (Le module spécifié est introuvable), C:/Users/audev/AppData/Local/Programs/Local/resources/extraResources/lightning-services/php-8.1.9+8/bin/win64/ext\php_php_exif.dll.dll (Le module spécifié est introuvable)) in Unknown on line 0
[25-Sep-2023 07:26:07 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_gd.dll' (tried: C:/Users/audev/AppData/Local/Programs/Local/resources/extraResources/lightning-services/php-8.1.9+8/bin/win64/ext\php_gd.dll (Le module spécifié est introuvable), C:/Users/audev/AppData/Local/Programs/Local/resources/extraResources/lightning-services/php-8.1.9+8/bin/win64/ext\php_php_gd.dll.dll (Le module spécifié est introuvable)) in Unknown on line 0
[25-Sep-2023 07:26:07 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_ftp.dll' (tried: C:/Users/audev/AppData/Local/Programs/Local/resources/extraResources/lightning-services/php-8.1.9+8/bin/win64/ext\php_ftp.dll (Le module spécifié est introuvable), C:/Users/audev/AppData/Local/Programs/Local/resources/extraResources/lightning-services/php-8.1.9+8/bin/win64/ext\php_php_ftp.dll.dll (Le module spécifié est introuvable)) in Unknown on line 0
[25-Sep-2023 07:26:07 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_imap.dll' (tried: C:/Users/audev/AppData/Local/Programs/Local/resources/extraResources/lightning-services/php-8.1.9+8/bin/win64/ext\php_imap.dll (Le module spécifié est introuvable), C:/Users/audev/AppData/Local/Programs/Local/resources/extraResources/lightning-services/php-8.1.9+8/bin/win64/ext\php_php_imap.dll.dll (Le module spécifié est introuvable)) in Unknown on line 0
[25-Sep-2023 07:26:07 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_bz2.dll' (tried: C:/Users/audev/AppData/Local/Programs/Local/resources/extraResources/lightning-services/php-8.1.9+8/bin/win64/ext\php_bz2.dll (Le module spécifié est introuvable), C:/Users/audev/AppData/Local/Programs/Local/resources/extraResources/lightning-services/php-8.1.9+8/bin/win64/ext\php_php_bz2.dll.dll (Le module spécifié est introuvable)) in Unknown on line 0
[25-Sep-2023 07:26:07 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_mbstring.dll' (tried: C:/Users/audev/AppData/Local/Programs/Local/resources/extraResources/lightning-services/php-8.1.9+8/bin/win64/ext\php_mbstring.dll (Le module spécifié est introuvable), C:/Users/audev/AppData/Local/Programs/Local/resources/extraResources/lightning-services/php-8.1.9+8/bin/win64/ext\php_php_mbstring.dll.dll (Le module spécifié est introuvable)) in Unknown on line 0
